drugbank_id,rx_norm_id
DB00001,237057
DB00002,318341
DB00003,337623
DB00004,214470
DB00005,214555
DB00006,60819
DB00007,42375
DB00008,120608
DB00009,8410
DB00010,56188
DB00011,202912
DB00012,283838
DB00013,11055
DB00014,50610
DB00015,76895
DB00016,105694
DB00017,36118
DB00018,612937
DB00019,338036
DB00020,69634
DB00022,253453
DB00023,1156
DB00024,4952
DB00025,1300486
DB00026,72435
DB00027,5011
DB00028,1426680
DB00029,40028
DB00030,253182
DB00031,259280
DB00032,5882
DB00034,5879
DB00035,3251
DB00036,253149
DB00038,1311380
DB00039,196319
DB00040,261716
DB00041,70223
DB00042,860178
DB00043,302379
DB00044,388084
DB00045,54214
DB00046,314684
DB00047,274783
DB00048,58939
DB00049,283821
DB00050,68147
DB00051,327361
DB00052,314845
DB00053,84959
DB00054,83929
DB00055,352374
DB00056,1294580
DB00057,535
DB00059,34132
DB00060,75917
DB00061,59768
DB00062,828529
DB00063,75635
DB00065,1790539
DB00066,227518
DB00067,11149
DB00068,72258
DB00069,59744
DB00070,486164
DB00071,221109
DB00072,224905
DB00073,121191
DB00074,196102
DB00075,42405
DB00076,1745257
DB00078,262323
DB00080,22299
DB00081,263010
DB00082,278739
DB00083,1000104
DB00085,235379
DB00086,10106
DB00087,117055
DB00088,46049
DB00089,136300
DB00090,392509
DB00091,3008
DB00092,299635
DB00093,4319
DB00094,134404
DB00095,356988
DB00097,283550
DB00098,107044
DB00099,1433764
DB00100,1300488
DB00102,115238
DB00103,338817
DB00104,7617
DB00105,5880
DB00106,301739
DB00107,7824
DB00108,354770
DB00109,139896
DB00110,194279
DB00111,190353
DB00112,253337
DB00113,230435
DB00114,9004
DB00115,11248
DB00117,5340
DB00118,9504
DB00119,35161
DB00120,8156
DB00121,1588
DB00122,2449
DB00123,6536
DB00125,1091
DB00126,1151
DB00127,1483263
DB00128,1169
DB00129,7704
DB00130,4885
DB00131,309
DB00132,52071
DB00133,9671
DB00134,6837
DB00135,10962
DB00136,1894
DB00137,11359
DB00138,3036
DB00139,37255
DB00140,9346
DB00141,1362871
DB00142,25916
DB00143,4890
DB00144,89959
DB00145,4919
DB00146,1855064
DB00147,9002
DB00148,2907
DB00149,6308
DB00150,10898
DB00151,3024
DB00152,10454
DB00153,4018
DB00154,2567
DB00156,10524
DB00157,7222
DB00158,4511
DB00159,90
DB00160,426
DB00161,11115
DB00162,11246
DB00163,11256
DB00165,42954
DB00166,6417
DB00167,6033
DB00168,1311524
DB00169,1244014
DB00170,6728
DB00171,318
DB00172,8737
DB00173,290
DB00174,1157
DB00175,42463
DB00176,42355
DB00177,69749
DB00178,35296
DB00179,227239
DB00180,1546428
DB00181,1292
DB00182,725
DB00183,7993
DB00184,31765
DB00185,44281
DB00186,6470
DB00187,49737
DB00191,221138
DB00193,10689
DB00194,11194
DB00195,1520
DB00196,4450
DB00197,72610
DB00198,260101
DB00199,4053
DB00200,5514
DB00201,1886
DB00202,10154
DB00203,136411
DB00204,49247
DB00205,9010
DB00206,9260
DB00207,1299904
DB00208,10594
DB00209,236778
DB00210,60223
DB00211,6963
DB00213,40790
DB00214,38413
DB00215,2556
DB00216,231049
DB00217,1523
DB00218,139462
DB00219,7818
DB00220,134527
DB00221,6023
DB00222,25789
DB00223,91311
DB00224,114289
DB00225,41144
DB00226,26296
DB00227,6472
DB00228,3920
DB00229,2188
DB00230,187832
DB00231,10355
DB00232,6860
DB00233,7833
DB00234,60842
DB00235,52769
DB00236,8347
DB00237,477631
DB00238,53654
DB00239,32638
DB00240,108088
DB00241,19860
DB00242,44157
DB00243,35829
DB00244,52582
DB00245,1424
DB00246,115698
DB00247,6911
DB00248,47579
DB00249,5653
DB00250,3108
DB00251,37806
DB00252,8183
DB00253,29439
DB00254,1545992
DB00255,3390
DB00256,6513
DB00257,2623
DB00258,214342
DB00259,10184
DB00260,3007
DB00261,596724
DB00262,2105
DB00263,10207
DB00264,6918
DB00265,21766
DB00266,1598
DB00268,72302
DB00269,2397
DB00270,33910
DB00271,1546223
DB00273,38404
DB00274,2182
DB00275,321064
DB00276,739
DB00277,10438
DB00278,15202
DB00279,10814
DB00280,3541
DB00281,6387
DB00282,11473
DB00283,2578
DB00284,16681
DB00285,39786
DB00286,4099
DB00287,283809
DB00288,17652
DB00289,38400
DB00290,1622
DB00291,2346
DB00292,4177
DB00293,196239
DB00294,14584
DB00295,7052
DB00296,35780
DB00297,1815
DB00298,22298
DB00299,59839
DB00300,300195
DB00301,4448
DB00302,10691
DB00303,325642
DB00304,22656
DB00305,632
DB00306,89810
DB00307,233272
DB00308,41289
DB00309,11204
DB00310,2409
DB00312,8004
DB00313,11118
DB00314,78903
DB00315,135775
DB00316,161
DB00317,328134
DB00318,1545976
DB00319,1546000
DB00320,3418
DB00321,704
DB00322,4488
DB00323,72937
DB00324,4491
DB00325,7476
DB00326,47618
DB00327,3423
DB00328,5781
DB00330,4110
DB00331,6809
DB00332,7213
DB00333,6813
DB00334,61381
DB00335,1202
DB00336,7455
DB00337,321952
DB00338,7646
DB00339,8987
DB00340,29682
DB00341,20610
DB00342,42330
DB00343,3443
DB00344,8886
DB00345,42837
DB00346,17300
DB00347,10827
DB00348,61805
DB00349,21241
DB00350,6984
DB00351,29451
DB00352,10485
DB00353,6883
DB00354,59636
DB00355,1272
DB00356,2410
DB00357,677
DB00358,6694
DB00359,10171
DB00360,753340
DB00361,39541
DB00362,341018
DB00363,2626
DB00364,10156
DB00365,83719
DB00366,3642
DB00367,6373
DB00368,7512
DB00369,1546007
DB00370,15996
DB00371,6760
DB00372,10471
DB00373,10600
DB00374,343048
DB00375,2685
DB00376,10811
DB00377,70561
DB00378,3706
DB00379,6926
DB00380,42736
DB00381,17767
DB00382,10318
DB00383,32698
DB00384,10763
DB00385,31435
DB00387,8718
DB00388,8163
DB00389,2020
DB00390,3407
DB00391,10239
DB00392,4134
DB00393,7426
DB00394,1348
DB00395,2101
DB00396,8727
DB00397,8175
DB00398,495881
DB00399,1546014
DB00400,5021
DB00401,7435
DB00402,461016
DB00403,596
DB00405,22696
DB00406,1546369
DB00407,87866
DB00408,6475
DB00409,35350
DB00410,42372
DB00411,1546387
DB00412,84108
DB00413,746741
DB00414,173
DB00415,221058
DB00416,203206
DB00417,7984
DB00418,9624
DB00419,402316
DB00420,8742
DB00421,9997
DB00422,6901
DB00423,6845
DB00424,153970
DB00425,39993
DB00426,68099
DB00427,10849
DB00428,10114
DB00429,2051
DB00431,1388
DB00432,10803
DB00433,8704
DB00434,3013
DB00435,7442
DB00436,1369
DB00437,519
DB00438,1545984
DB00439,596723
DB00440,10829
DB00441,12574
DB00442,1546027
DB00443,1514
DB00444,10362
DB00445,3995
DB00446,2348
DB00447,28981
DB00448,17128
DB00449,23410
DB00450,3648
DB00451,10582
DB00452,4556
DB00453,21272
DB00454,6754
DB00455,28889
DB00456,2236
DB00457,8629
DB00458,5691
DB00459,16818
DB00460,118886
DB00461,31448
DB00462,56092
DB00463,6825
DB00464,9913
DB00465,35827
DB00467,3925
DB00468,9071
DB00469,37790
DB00470,10402
DB00471,88249
DB00472,4493
DB00473,26879
DB00474,6847
DB00475,2356
DB00476,72625
DB00477,2403
DB00478,9386
DB00479,641
DB00480,342369
DB00481,72143
DB00482,140587
DB00483,4639
DB00484,134615
DB00485,3356
DB00486,31447
DB00487,7960
DB00488,5296
DB00489,9947
DB00490,1827
DB00491,30009
DB00492,50166
DB00493,2186
DB00494,60307
DB00495,11413
DB00496,136198
DB00497,7804
DB00498,8130
DB00499,4508
DB00500,10636
DB00501,2541
DB00502,5093
DB00503,85762
DB00504,6370
DB00505,38617
DB00507,31819
DB00508,10805
DB00509,3292
DB00511,132871
DB00512,11124
DB00513,99
DB00514,3289
DB00515,2555
DB00516,134568
DB00517,17945
DB00518,430
DB00519,38454
DB00520,140108
DB00521,2116
DB00522,18896
DB00523,81864
DB00524,6916
DB00525,10637
DB00526,32592
DB00527,3339
DB00528,135056
DB00529,33562
DB00530,337525
DB00531,1545988
DB00532,6757
DB00533,232158
DB00535,25037
DB00536,50675
DB00537,2551
DB00538,228833
DB00539,38409
DB00540,7531
DB00541,11202
DB00542,18867
DB00543,722
DB00544,4492
DB00545,9000
DB00547,3255
DB00548,18602
DB00549,114970
DB00550,8794
DB00551,16728
DB00552,8011
DB00553,6854
DB00554,8356
DB00555,28439
DB00556,283753
DB00557,5553
DB00558,69722
DB00559,75207
DB00560,384455
DB00561,3637
DB00562,19008
DB00563,6851
DB00564,2002
DB00565,319864
DB00566,3446
DB00567,1299782
DB00568,2549
DB00570,11198
DB00571,8787
DB00572,1223
DB00573,4331
DB00574,4328
DB00575,2599
DB00576,10179
DB00577,73645
DB00578,2015
DB00579,6664
DB00580,278567
DB00581,6218
DB00582,121243
DB00583,2106
DB00584,3827
DB00585,42319
DB00586,3355
DB00588,50121
DB00589,6446
DB00590,49276
DB00591,4461
DB00592,8340
DB00593,4135
DB00594,644
DB00595,7821
DB00596,41208
DB00597,25483
DB00598,6185
DB00599,10493
DB00600,17145
DB00601,190376
DB00602,6069
DB00603,1000112
DB00604,35255
DB00605,10237
DB00606,22033
DB00607,7233
DB00608,2393
DB00609,4127
DB00610,6805
DB00611,1841
DB00612,19484
DB00613,720
DB00614,4601
DB00615,55672
DB00617,32894
DB00618,3154
DB00619,282388
DB00620,10759
DB00621,7779
DB00622,7396
DB00623,4496
DB00624,10379
DB00625,195085
DB00626,1291
DB00627,7393
DB00628,235408
DB00629,5033
DB00630,236083
DB00631,44151
DB00632,594680
DB00633,48937
DB00634,10169
DB00635,8640
DB00636,2594
DB00637,42328
DB00638,5924
DB00639,19884
DB00640,296
DB00641,36567
DB00642,68446
DB00643,6672
DB00644,6384
DB00645,23744
DB00646,7597
DB00647,8785
DB00648,7004
DB00649,59763
DB00650,6313
DB00651,3714
DB00652,8001
DB00653,1311625
DB00654,43611
DB00655,4103
DB00656,10737
DB00657,6673
DB00658,214824
DB00659,82819
DB00660,59078
DB00661,11170
DB00662,38685
DB00663,4458
DB00664,10175
DB00665,31805
DB00666,28656
DB00668,3992
DB00669,37418
DB00670,8352
DB00671,25033
DB00672,2404
DB00673,358255
DB00674,4637
DB00675,10324
DB00676,19044
DB00677,6027
DB00678,52175
DB00679,10502
DB00680,40169
DB00681,236594
DB00682,11289
DB00683,6960
DB00684,10627
DB00685,115552
DB00686,155046
DB00687,4452
DB00688,68149
DB00690,4501
DB00691,30131
DB00692,8153
DB00693,25138
DB00694,3109
DB00695,4603
DB00696,4025
DB00697,57258
DB00698,235559
DB00699,7398
DB00700,298869
DB00701,228656
DB00702,140480
DB00703,6826
DB00704,7243
DB00705,83816
DB00706,77492
DB00707,333848
DB00708,56795
DB00709,68244
DB00710,115264
DB00711,3384
DB00712,4502
DB00713,7773
DB00714,1043
DB00715,32937
DB00716,31563
DB00717,7514
DB00718,141400
DB00719,18600
DB00720,3350
DB00721,8701
DB00722,1546022
DB00723,6853
DB00724,59943
DB00725,1546413
DB00726,10834
DB00727,4917
DB00728,68139
DB00730,10450
DB00731,274332
DB00732,1219
DB00733,34345
DB00734,35636
DB00735,31476
DB00736,283742
DB00737,6676
DB00738,7994
DB00739,26797
DB00740,35623
DB00741,5492
DB00742,6628
DB00743,692620
DB00744,40575
DB00745,30125
DB00746,3131
DB00747,9603
DB00748,20220
DB00749,24605
DB00750,8686
DB00751,39684
DB00752,10734
DB00753,6026
DB00754,4136
DB00755,10753
DB00756,5293
DB00757,68091
DB00758,32968
DB00759,10395
DB00760,1546029
DB00761,8591
DB00762,51499
DB00763,6835
DB00764,108118
DB00765,266604
DB00766,21216
DB00767,19041
DB00768,135391
DB00769,598
DB00771,21232
DB00772,6606
DB00773,4179
DB00774,5495
DB00775,73137
DB00776,32624
DB00777,8770
DB00778,9478
DB00779,7240
DB00780,8123
DB00782,8761
DB00783,4083
DB00784,6693
DB00785,42618
DB00786,281
DB00788,7258
DB00789,1546432
DB00790,54552
DB00791,10996
DB00792,10847
DB00793,26422
DB00794,8691
DB00795,9524
DB00796,135481
DB00797,10634
DB00798,1596450
DB00799,83947
DB00800,24853
DB00801,26412
DB00802,480
DB00803,2709
DB00804,3361
DB00805,30031
DB00806,8013
DB00807,34905
DB00808,5764
DB00809,10869
DB00810,1589
DB00811,9344
DB00812,8160
DB00813,4337
DB00814,41493
DB00815,9871
DB00816,7688
DB00817,35797
DB00818,8782
DB00819,167
DB00820,358263
DB00821,20343
DB00822,3554
DB00823,4170
DB00824,236388
DB00826,7268
DB00827,2550
DB00828,4550
DB00829,3322
DB00830,8133
DB00831,10800
DB00832,33309
DB00833,1450910
DB00834,6964
DB00835,1767
DB00836,6468
DB00837,34568
DB00838,21249
DB00839,10633
DB00840,27291
DB00841,3616
DB00842,7781
DB00843,135447
DB00844,7238
DB00845,2592
DB00846,4500
DB00847,3022
DB00848,6371
DB00849,6758
DB00850,8076
DB00851,3098
DB00852,8896
DB00853,37776
DB00854,6378
DB00855,155002
DB00856,2399
DB00857,37801
DB00858,23678
DB00859,7975
DB00860,8638
DB00861,3393
DB00862,306674
DB00863,9143
DB00864,235991
DB00865,1422
DB00866,597
DB00867,9392
DB00868,18993
DB00869,60207
DB00870,10255
DB00871,10368
DB00872,302285
DB14596,5032
DB00875,4495
DB00876,83515
DB00877,35302
DB00878,2358
DB00879,276237
DB00880,2396
DB00881,35208
DB00882,2596
DB00883,6058
DB00884,55685
DB00885,19551
DB00886,1808
DB00888,6674
DB00889,26237
DB00890,3368
DB00891,10188
DB00892,18889
DB00893,5992
DB00894,10378
DB00895,19079
DB00896,55681
DB00897,10767
DB00898,448
DB00899,73032
DB00900,3364
DB00901,19499
DB00902,29648
DB00903,4109
DB00904,26225
DB00905,283810
DB00906,31914
DB00907,2653
DB00908,9068
DB00909,39998
DB00910,73710
DB00911,10612
DB00912,73044
DB00913,17933
DB00914,8129
DB00915,620
DB00916,6922
DB00917,3478
DB00918,279645
DB00919,270
DB00920,6146
DB00921,1819
DB00922,73107
DB00923,20486
DB00924,21949
DB00925,8149
DB00926,4182
DB00927,4278
DB00928,1251
DB00929,42331
DB00930,141626
DB00931,6812
DB00932,190548
DB00933,6779
DB00934,6646
DB00935,7812
DB00936,9525
DB00937,3389
DB00938,36117
DB00939,6678
DB00940,6821
DB00941,26826
DB00942,22037
DB00943,3363
DB00944,107771
DB00945,1191
DB00946,8150
DB00947,282357
DB00948,6927
DB00949,24812
DB00950,87636
DB00951,6038
DB00952,141366
DB00953,88014
DB00954,23437
DB00955,7337
DB00956,5489
DB00957,31994
DB00958,40048
DB00959,6902
DB00960,8332
DB00961,6759
DB00962,74667
DB00963,19737
DB00964,14845
DB00965,4125
DB00966,73494
DB00967,275635
DB00968,1545996
DB00969,85248
DB00970,3100
DB00971,36345
DB00972,18603
DB00973,341248
DB00974,1370600
DB00975,3521
DB00976,274786
DB00977,4124
DB00978,28872
DB00979,3001
DB00980,596205
DB00981,8299
DB00982,6064
DB00983,25255
DB00984,31495
DB00985,3444
DB00986,1546438
DB00987,3041
DB00988,3628
DB00989,183379
DB00990,258494
DB00991,32613
DB00992,337068
DB00993,1256
DB00994,7299
DB00995,1227
DB00996,25480
DB00997,3639
DB00998,228783
DB00999,5487
DB01000,2968
DB01001,435
DB01002,259453
DB01003,2921
DB01004,4678
DB01005,5552
DB01006,72965
DB01007,38298
DB01008,1828
DB01009,6142
DB01010,3752
DB01011,6923
DB01012,407990
DB01013,21245
DB01014,18747
DB01015,10180
DB01016,4815
DB01017,6980
DB01018,40114
DB01019,19257
DB01020,28004
DB01021,10772
DB01022,8308
DB01023,4316
DB01024,265323
DB01025,46307
DB01026,6135
DB01028,6857
DB01029,83818
DB01030,57308
DB01031,24474
DB01032,8698
DB01033,103
DB01034,8700
DB01036,119565
DB01037,9639
DB01038,8703
DB01041,10432
DB01042,6718
DB01043,6719
DB01044,1546025
DB01045,9384
DB01046,623033
DB01047,4462
DB01048,190521
DB01049,4024
DB01050,5640
DB01051,7538
DB01053,7980
DB01054,7441
DB01055,42359
DB01057,89778
DB01058,8628
DB01059,7517
DB01060,1297882
DB01061,1266
DB01062,32675
DB01063,16735
DB01064,6054
DB01065,6711
DB01066,83682
DB01067,4821
DB01068,2598
DB01069,8745
DB01070,3429
DB01071,29528
DB01072,343047
DB01073,24698
DB01074,8050
DB01075,3498
DB01076,1483793
DB01077,1356715
DB01078,3248
DB01079,139778
DB01080,14851
DB01081,3500
DB01082,10109
DB01083,37925
DB01084,28144
DB01085,8328
DB01086,1399
DB01087,8687
DB01088,40138
DB01089,62174
DB01090,47461
DB01092,7762
DB01093,3455
DB01094,1314255
DB01095,41127
DB01096,7778
DB01097,27169
DB01098,301542
DB01099,4451
DB01100,8331
DB01101,194000
DB01102,61609
DB01103,9061
DB01104,36437
DB01105,36514
DB01106,28627
DB01107,6910
DB01108,38668
DB01109,5224
DB01110,6932
DB01111,2708
DB01112,2194
DB01113,7895
DB01114,2400
DB01115,7417
DB01116,10828
DB01117,60212
DB01118,703
DB01119,3327
DB01120,4816
DB01121,33253
DB01122,623
DB01123,8723
DB01124,10635
DB01125,17941
DB01126,228790
DB01127,3743
DB01128,83008
DB01129,114979
DB01130,34369
DB01131,2382
DB01132,33738
DB01133,57230
DB01134,22537
DB01135,23651
DB01136,20352
DB01137,82122
DB01138,10205
DB01139,2238
DB01140,1545975
DB01141,325887
DB01142,3638
DB01143,1545987
DB01144,3353
DB01145,23386
DB01147,2625
DB01148,4440
DB01149,31565
DB01150,1546020
DB01151,3247
DB01152,36435
DB01154,10464
DB01155,138099
DB01156,42347
DB01157,42333
DB01158,19685
DB01159,5095
DB01160,23321
DB01161,20859
DB01162,37798
